Accuracy,DI,Type
0.845,0.61,Naive
0.834,0.707,Naive
0.824,0.766,Naive
0.811,0.825,Naive
0.8,0.855,Naive
0.795,0.882,Naive
0.842,0.657,Original
0.835,0.704,Original
0.833,0.722,Original
0.824,0.76,Original
0.821,0.77,Original
0.814,0.827,Original
