d_f_losses,d_r_losses,d_f_mi,d_r_mi,g_losses
0.6863400340080261,0.7162328958511353,0.02916239458965464,0.07636604324039581,0.06035776808857918
0.686275064945221,0.7161667943000793,0.030199177640135133,0.07645209956259025,0.06030358746647835
0.6862099766731262,0.7161009907722473,0.03100973531527451,0.0764238671267491,0.06025030091404915
0.686145007610321,0.7160353660583496,0.031746750289265324,0.07642220703578836,0.06019790843129158
0.6860801577568054,0.715969979763031,0.032743506652772925,0.07642375618108752,0.06014644727110863
0.6860153675079346,0.715904712677002,0.033587848547256494,0.07622238917508187,0.060095902532339096
0.6859506964683533,0.7158395648002625,0.034872912053275806,0.0764418063225797,0.060046304017305374
0.6858862042427063,0.715774655342102,0.03469886050362836,0.07646780423602713,0.059997666627168655
0.6858218908309937,0.7157099843025208,0.034612638353128555,0.07641542320202846,0.059950005263090134
0.6857576370239258,0.7156455516815186,0.03487205682935157,0.07644178148727604,0.05990331247448921
0.6856937408447266,0.7155811190605164,0.03444178232138817,0.07650368232798127,0.05985761433839798
0.6856300830841064,0.7155168056488037,0.03444178232138817,0.07652526070871969,0.05981289967894554
0.6855666637420654,0.7154527902603149,0.03654274677696845,0.07666976284168914,0.05976917967200279
0.6855036020278931,0.7153887152671814,0.036723606189948965,0.07671019017602951,0.05972645804286003
0.6854408383369446,0.715324878692627,0.03753123438881545,0.07669824887086064,0.059684742242097855
0.6853784918785095,0.7152609825134277,0.03862283928566035,0.07666789264295007,0.05964401364326477
0.6853164434432983,0.7151974439620972,0.03862283928566035,0.07666789264295007,0.059604283422231674
0.6852548718452454,0.715133786201477,0.03936499946812588,0.07669774197035373,0.05956554040312767
0.685193657875061,0.7150702476501465,0.039277872254822266,0.07682206622710834,0.05952778086066246
0.6851330399513245,0.7150064706802368,0.039277872254822266,0.07682206622710834,0.059490978717803955
0.6850727796554565,0.7149425745010376,0.03946955835990984,0.0767684873283669,0.05945514515042305
0.6850131154060364,0.7148786187171936,0.03994281514121978,0.0766937574014311,0.05942026525735855
0.684954047203064,0.7148144245147705,0.04013807384856749,0.0766677116850216,0.05938631296157837
0.6848955154418945,0.7147499322891235,0.0407037204410825,0.07674076158189115,0.05935327336192131
0.6848375201225281,0.7146852016448975,0.040617905929643094,0.07664119245917557,0.05932113528251648
0.6847802996635437,0.7146202325820923,0.04090222580694691,0.07661343921826444,0.059289880096912384
0.6847236752510071,0.7145550847053528,0.04081683048472795,0.07659362193028928,0.05925947055220604
0.6846676468849182,0.7144895792007446,0.04138849396786637,0.07657657647574383,0.059229910373687744
0.6846123337745667,0.7144237756729126,0.041506077698483246,0.07658544455265351,0.059201158583164215
0.6845579147338867,0.7143576741218567,0.04171018613414479,0.07691780702162589,0.05917319282889366
0.6845041513442993,0.7142910957336426,0.04241408306881944,0.0769594161227669,0.05914599820971489
0.6844512224197388,0.7142242193222046,0.0430838556493387,0.07688002555719213,0.05911954119801521
0.6843991279602051,0.714156985282898,0.04337870883602657,0.07686482087882955,0.05909379944205284
0.6843478679656982,0.7140893936157227,0.04337870883602657,0.07686482087882955,0.059068746864795685
0.6842975616455078,0.7140213251113892,0.042834541854934516,0.07708346342049842,0.05904436111450195
0.6842482089996338,0.7139530181884766,0.042752555124571434,0.0771251300871651,0.05902060866355896
0.6841997504234314,0.713884174823761,0.0430470213526557,0.07712891796595296,0.05899747833609581
0.6841523051261902,0.7138150930404663,0.04363938990344951,0.07715245923949425,0.05897492915391922
0.6841058135032654,0.7137457728385925,0.0442363580324745,0.07730557612261113,0.05895295366644859
0.6840603947639465,0.7136762142181396,0.04377430398874327,0.07724574158866669,0.05893150717020035
0.6840160489082336,0.7136063575744629,0.04429247077793541,0.07746106402208124,0.058910585939884186
0.6839728951454163,0.713536262512207,0.04391230304619986,0.07749021625873347,0.05889016389846802
0.6839308142662048,0.7134660482406616,0.04391230304619986,0.07749021625873347,0.058870214968919754
0.6838899850845337,0.7133955955505371,0.04481559123346046,0.07752713746661055,0.058850716799497604
0.6838502883911133,0.713325023651123,0.04503916969231758,0.07720432761607236,0.05883166939020157
0.6838118433952332,0.7132543325424194,0.04503916969231758,0.07720432761607236,0.05881302431225777
0.6837745904922485,0.7131838798522949,0.04564948709383021,0.07725455880902803,0.0587947852909565
0.6837387681007385,0.7131133079528809,0.04626455314945077,0.07720736798830263,0.05877693369984627
0.683704137802124,0.7130428552627563,0.04549125154860656,0.07730481427771116,0.05875943973660469
0.6836708784103394,0.7129726409912109,0.044725318727375285,0.0773043129314808,0.05874231085181236
0.6836389899253845,0.7129026651382446,0.04426861795404968,0.07713492748305123,0.058725517243146896
0.6836082339286804,0.7128329277038574,0.04426861795404968,0.07713492748305123,0.0587090365588665
0.6835790276527405,0.7127634286880493,0.04480000572946641,0.07719979661160069,0.05869289115071297
0.683551013469696,0.7126942873001099,0.04510547582336544,0.0771917425088407,0.058677028864622116
